cloneId	symbol	pDNA.p0.10025	pDNA.p0.10025_10056	pDNA.p0.110625	pDNA.p0.110709	pDNA.p0.110709_10056	pDNA.p0.54_10051	HPAFII_PANCREAS.p5.A	HPAFII_PANCREAS.p5.B	HPAFII_PANCREAS.p5.C	HPAFII_PANCREAS.p5.D
TRCN0000061758	SPINK4	23	25	19	24	24	27	3	7	3	1
TRCN0000061769	EIF4G1	26	28	28	31	28	30	4	5	22	6
TRCN0000061816	UNC5B	9	10	9	9	9	11	3	11	6	8
TRCN0000061895	TCF7L2	34	34	29	34	28	37	6	5	9	10
TRCN0000061919	KIAA0430	18	19	31	21	20	18	46	92	41	27
TRCN0000061974	CEP55	26	25	29	27	28	33	5	2	4	3
TRCN0000062035	EIF3G	22	20	32	24	24	24	1	1	1	1
TRCN0000062079	PDZK1IP1	26	28	22	33	29	30	4	9	9	8
TRCN0000062231	DLGAP5	4	3	4	4	3	5	1	1	4	1
TRCN0000062580	HSPE1	33	35	41	37	37	39	2	1	3	6
TRCN0000062623	RAD1	21	24	24	22	20	25	23	21	44	16
TRCN0000062801	GTF2H5	12	12	9	12	11	11	1	2	2	3
TRCN0000222083	GPRASP2	26	28	16	26	25	32	20	29	16	43
TRCN0000062976	FCRL5	18	18	21	18	17	22	5	1	1	2
TRCN0000063101	OR1S2	19	21	16	20	20	23	9	3	8	5
TRCN0000063121	HTR1D	16	15	9	16	16	16	1	1	1	2
TRCN0000063147	CNTNAP1	23	24	19	21	20	24	41	34	34	56
TRCN0000063161	HTR1E	13	13	10	13	13	15	5	11	6	13
TRCN0000063250	KDELR1	15	16	11	16	15	17	3	1	6	5
TRCN0000063429	PNRC2	22	23	13	23	21	29	18	85	2	7
TRCN0000063492	RARRES3	31	29	38	30	32	33	4	7	20	5
TRCN0000063539	FKBP3	38	40	35	30	34	42	10	14	15	8
TRCN0000063545	SEMA5A	38	35	33	32	36	39	2	5	1	6
TRCN0000063602	REEP2	27	29	36	33	29	35	123	155	56	74
TRCN0000063607	GABRQ	22	20	24	20	19	22	11	7	3	22
TRCN0000063613	IRS4	43	40	30	42	40	45	214	136	113	96
TRCN0000063778	NRTN	12	8	10	3	8	13	4	4	4	7
TRCN0000063810	CYP46A1	25	28	32	32	29	31	30	14	40	28
TRCN0000063892	DGCR14	23	24	37	28	27	26	4	5	1	8
TRCN0000064078	PDCL	12	12	19	14	14	15	2	5	3	12
TRCN0000064156	CYP2D6	17	16	14	10	15	15	15	36	8	146
TRCN0000064253	CYP3A43	12	13	11	12	13	13	19	9	19	28
TRCN0000064448	OXNAD1	23	25	28	24	22	24	1	6	1	1
TRCN0000064655	CYP2A6	12	12	13	14	14	17	31	13	27	22
TRCN0000064703	FADS1	9	8	7	9	8	10	12	16	9	16
TRCN0000064780	FADS6	21	18	19	12	20	25	31	13	21	353
TRCN0000064832	FN1	16	13	23	17	14	17	65	23	223	82
TRCN0000064866	KDSR	29	30	26	33	31	37	189	181	140	100
TRCN0000064981	COPE	21	20	24	21	21	23	11	6	12	4
TRCN0000065014	STX3	25	30	32	33	32	33	1	2	13	1
TRCN0000065081	AP1G2	24	25	36	30	27	27	6	18	15	8
TRCN0000065158	SEC24C	18	18	21	19	17	17	1	4	3	1
TRCN0000065168	SEC24D	24	14	30	35	15	32	34	84	98	122
TRCN0000065195	TOM1	14	14	11	14	13	14	2	2	1	1
TRCN0000072206	NegControl	10	6	20	17	8	16	1	1	1	3
TRCN0000072245	NegControl	12	10	14	11	9	14	40	22	4	17
TRCN0000072268	SNRPE	52	55	44	58	58	57	15	1	61	11
TRCN0000072322	LSM3	18	21	20	22	21	24	2	3	1	1
TRCN0000072375	PDAP1	13	13	16	13	14	16	9	11	20	9
TRCN0000072434	TOMM40	18	22	22	25	21	22	1	3	10	3
TRCN0000072477	SNRPB	15	16	18	17	15	17	6	7	3	14
TRCN0000072584	H2AFZ	20	21	10	10	23	25	7	6	3	6
TRCN0000072646	MLF1IP	16	17	20	17	16	19	33	13	11	16
TRCN0000072712	TMEM48	25	25	34	27	26	29	5	4	5	3
TRCN0000072739	STRA13	13	12	22	13	12	18	12	16	25	25
TRCN0000072756	CENPO	14	14	13	16	14	15	1	2	2	3
TRCN0000072773	SSSCA1	15	15	17	14	13	17	3	3	2	2
TRCN0000072835	TMED4	10	11	11	12	12	11	1	1	1	2
TRCN0000072878	KRIT1	58	64	55	57	56	54	155	53	62	85
TRCN0000072891	RSG1	24	24	26	30	25	31	2	8	1	1
TRCN0000072948	ARL8A	36	37	30	39	37	39	18	39	20	19
TRCN0000072953	RALB	8	3	15	18	3	16	5	5	3	3
TRCN0000073050	DHX57	17	19	22	19	17	18	14	18	23	16
TRCN0000073093	TRIM56	12	13	15	11	11	13	7	10	13	7
TRCN0000073143	ZFYVE19	10	9	8	9	9	10	11	30	60	79
TRCN0000073197	RNF113B	20	20	15	21	18	19	2	7	5	3
TRCN0000073204	WDSUB1	17	18	16	18	16	19	26	24	74	34
TRCN0000073222	UBL4B	19	18	19	19	19	24	6	30	10	6
TRCN0000073505	SPINK6	13	14	9	13	12	14	33	11	26	26
TRCN0000073534	VWF	18	18	14	19	18	20	16	6	12	22
TRCN0000073564	FRAS1	18	19	13	17	18	20	6	36	2	4
TRCN0000073589	SPINLW1	14	15	13	12	12	16	9	5	8	6
TRCN0000073613	FETUB	22	21	18	21	20	20	72	45	47	54
TRCN0000073638	CAST	15	18	18	17	15	20	5	8	7	7
TRCN0000073648	CD109	23	24	24	25	24	25	7	9	20	18
TRCN0000073865	YME1L1	15	12	12	18	16	19	1	1	1	2
TRCN0000073913	PMPCB	36	37	31	32	32	39	327	535	276	379
TRCN0000073975	STAMBP	13	13	9	8	13	15	1	3	2	3
TRCN0000074012	TPSD1	7	7	8	9	9	8	3	10	4	1
TRCN0000074044	OVCH1	8	9	10	10	9	9	10	7	24	31
TRCN0000074299	EID2	15	14	24	19	19	20	8	5	8	2
TRCN0000074346	PHRF1	23	25	25	26	25	25	29	90	19	10
TRCN0000074442	LSM11	31	31	37	35	35	34	17	9	30	35
TRCN0000074464	TIA1	38	42	34	42	40	34	9	17	4	11
TRCN0000074509	HNRNPA3	27	31	26	30	26	31	43	30	14	25
TRCN0000074516	CWC22	29	27	24	20	26	40	8	9	8	3
TRCN0000074691	ACIN1	18	19	11	18	16	17	32	102	14	37
TRCN0000074733	RBM10	14	6	20	9	7	35	2	2	5	13
TRCN0000074775	SUGP1	9	9	8	10	9	9	10	21	21	9
TRCN0000074784	PRPF3	19	17	29	21	22	25	1	1	1	1
TRCN0000074813	EIF3I	17	18	24	21	21	25	3	19	1	4
TRCN0000074838	WDR33	36	34	30	41	38	45	1	11	4	6
TRCN0000074985	CPSF3	20	18	17	14	17	20	42	43	72	86
TRCN0000075023	TET1	15	15	13	15	15	17	2	9	4	2
TRCN0000075113	LUC7L3	16	15	20	17	16	16	27	17	20	45
TRCN0000075137	SNRPN	16	17	18	18	18	17	1	1	4	3
TRCN0000075143	SNIP1	22	21	18	22	23	26	4	23	14	11
TRCN0000075169	ZC3H18	13	15	13	13	15	14	6	3	4	9
TRCN0000075200	C1RL	11	12	14	13	13	13	10	6	4	4
TRCN0000075226	GFPT2	6	6	4	5	5	6	1	3	4	10
TRCN0000075284	FAM108A1	13	13	12	10	12	15	10	2	19	56
TRCN0000078680	AK8	20	19	16	17	18	19	16	14	11	9
TRCN0000078674	MMAA	34	33	48	44	37	45	10	18	27	21
TRCN0000078288	SCLY	42	43	42	44	43	43	59	96	50	63
TRCN0000078178	PLCXD3	15	14	16	13	12	16	17	6	9	9
TRCN0000078115	LIAS	21	21	29	26	22	28	1	2	1	4
TRCN0000078067	SCAP	34	34	37	35	32	33	6	6	7	4
TRCN0000077993	POC1B	21	20	19	21	20	25	9	6	33	17
TRCN0000077866	RIN3	9	9	12	13	10	12	9	2	2	1
TRCN0000078745	MORN4	23	22	30	23	22	26	88	105	83	83
TRCN0000083973	MAPT	32	32	39	35	34	38	19	50	30	32
TRCN0000083931	EIF2B2	30	29	39	30	30	34	5	6	6	3
TRCN0000083909	CLRN1	14	14	10	11	13	14	12	34	21	4
TRCN0000083873	KRT12	35	35	41	38	35	35	14	10	7	16
TRCN0000083867	MYO1A	36	34	5	4	39	43	17	18	14	35
TRCN0000083790	APOA5	20	18	22	23	21	20	7	14	1	20
TRCN0000083775	GSTP1	18	18	23	18	17	20	8	12	9	5
TRCN0000083762	DAZ2	39	40	33	40	39	38	15	41	13	8
TRCN0000083751	APOA4	32	33	38	41	39	43	176	156	104	233
TRCN0000083728	MPZ	20	23	12	21	19	22	12	32	12	5
TRCN0000083588	GLA	73	80	59	70	67	59	88	129	110	119
TRCN0000083313	CTNND2	19	23	22	28	26	24	27	13	22	13
TRCN0000083296	MCOLN1	22	25	19	24	23	27	31	18	20	33
TRCN0000083256	CRYBB1	7	3	16	12	5	11	3	7	13	9
TRCN0000083250	OSTM1	34	35	30	35	34	36	3	1	1	2
TRCN0000083187	HPS6	17	16	20	17	16	20	1	8	1	4
TRCN0000083176	GAL	10	8	12	12	9	12	19	23	11	9
TRCN0000083077	JPH3	24	18	30	30	22	34	47	69	20	35
TRCN0000083044	XRCC3	27	26	19	24	23	25	34	41	60	29
TRCN0000082967	CFTR	12	13	15	14	13	13	1	4	3	1
TRCN0000082924	NAGA	14	11	15	10	11	13	3	3	6	3
TRCN0000082911	COL1A2	20	24	22	22	20	23	23	40	45	35
TRCN0000082874	KRT17	22	21	18	21	22	27	8	3	2	1
TRCN0000082790	LPPR5	30	34	26	22	31	34	29	25	71	29
TRCN0000082759	FRMD1	30	30	27	29	29	34	3	7	3	5
TRCN0000082647	MTMR12	23	25	21	25	24	28	48	202	58	52
TRCN0000082621	LOC441759	22	22	27	22	21	20	3	5	7	4
TRCN0000082524	MARK2P10	17	18	26	21	22	20	61	19	46	23
TRCN0000082444	LOC441812	14	15	14	14	15	17	13	5	33	11
TRCN0000082408	LOC440345	15	15	13	15	14	16	11	3	10	3
TRCN0000084072	CFP	9	11	7	10	10	9	5	13	11	4
TRCN0000084099	CRYBA1	17	17	10	16	16	18	2	5	6	12
TRCN0000106879	H1F0	6	6	10	7	6	6	9	6	9	8
TRCN0000106884	HIST1H2BH	19	20	21	25	22	22	13	25	25	36
TRCN0000106954	HIST1H2AB	6	6	4	8	8	7	39	1	1	4
TRCN0000107051	AJAP1	22	22	21	21	17	21	9	12	22	3
TRCN0000107133	NOV	10	9	11	6	9	10	1	38	6	2
TRCN0000107192	CARD11	5	4	7	4	5	6	5	6	1	1
TRCN0000107214	TIAM2	17	18	13	17	15	14	23	5	3	2
TRCN0000107387	ZNF81	11	11	8	10	10	12	28	15	4	34
TRCN0000107428	ZNF772	12	13	15	15	13	14	3	14	3	7
TRCN0000107467	ZNF418	7	7	8	7	7	7	23	5	6	9
TRCN0000107510	MDFIC	14	14	13	15	16	17	1	3	1	4
TRCN0000107582	MORF4L1	7	7	11	6	8	7	1	2	2	2
TRCN0000107760	KDM6A	19	19	14	20	19	22	75	122	211	150
TRCN0000108001	ZNF788	3	3	4	4	4	4	1	1	3	1
TRCN0000108012	ZNF273	15	16	9	18	16	16	3	2	8	1
TRCN0000108034	MIER1	7	7	18	9	8	7	2	8	5	4
TRCN0000108084	C11orf48	9	9	7	9	9	9	5	5	5	1
TRCN0000108193	ZNF578	6	7	5	8	7	7	9	1	2	8
TRCN0000108267	KRT39	9	9	8	9	9	9	1	2	4	2
TRCN0000108321	COL16A1	14	11	9	15	13	15	2	4	3	7
TRCN0000108328	ACTR3B	13	12	8	12	12	13	7	8	11	8
TRCN0000113911	KRT85	15	15	20	15	15	19	55	13	13	24
TRCN0000113871	KIF5B	12	13	12	14	13	13	11	6	1	6
TRCN0000113850	KIF1B	45	46	51	53	50	53	20	17	32	27
TRCN0000113771	CHTF18	10	10	17	10	10	12	12	11	8	19
TRCN0000113766	MTMR11	11	11	11	12	11	12	38	7	14	7
TRCN0000115669	EHMT2	12	12	13	12	12	13	18	1	5	4
TRCN0000115683	NCAPD2	15	15	20	16	16	15	6	14	4	3
TRCN0000115869	RBBP4	11	10	9	10	10	11	12	40	14	34
TRCN0000115925	TMEM33	13	15	14	14	13	14	4	8	19	8
TRCN0000115998	POLK	10	9	12	10	10	11	4	1	6	2
TRCN0000116012	DIP2A	10	12	9	13	13	12	23	21	33	15
TRCN0000116037	C19orf6	9	8	9	11	9	13	1	1	1	3
TRCN0000116165	SPSB1	12	11	12	12	11	12	3	4	10	8
TRCN0000116273	KRTAP10-5	15	14	10	16	14	16	10	12	6	8
TRCN0000116281	MAP1A	10	10	5	10	9	10	19	21	46	23
TRCN0000116293	BFSP1	10	11	11	12	11	11	2	7	11	13
TRCN0000116489	CDC37L1	9	9	9	9	10	10	8	2	2	2
TRCN0000116523	KIF20A	7	8	10	7	8	8	1	3	3	4
TRCN0000116576	TUBA3D	13	12	20	14	13	13	12	18	7	12
TRCN0000116613	KRT26	21	22	34	24	20	23	48	58	25	44
TRCN0000116631	CLDN4	12	13	20	15	12	13	5	6	6	15
TRCN0000116642	SGIP1	12	11	11	11	11	12	12	5	10	6
TRCN0000116654	KIF27	8	9	9	9	8	8	21	8	19	19
TRCN0000221020	TRIML1	14	15	21	13	13	16	63	7	7	6
TRCN0000034803	UST	12	11	23	16	16	17	12	16	25	18
TRCN0000044089	CACNB4	10	11	10	11	9	13	2	4	2	9
TRCN0000045245	PTGIS	13	12	17	14	13	13	2	3	1	2
TRCN0000047253	ARHGAP15	15	12	14	15	10	18	15	33	28	26
TRCN0000048026	ARL2	19	18	16	21	19	19	7	4	16	19
TRCN0000048418	LOC441511	38	39	37	44	42	44	36	54	45	58
TRCN0000049092	PGM2L1	23	23	30	22	25	28	13	30	19	6
TRCN0000058016	CCL19	11	12	8	11	10	13	4	1	6	2
TRCN0000058771	LIFR	7	6	7	7	6	8	12	9	20	2
TRCN0000060567	CD300LF	14	13	11	13	11	14	2	2	1	2
TRCN0000063679	GABRB1	24	25	33	29	26	29	6	6	2	11
TRCN0000063874	APBA2	15	14	16	13	15	16	8	15	27	46
TRCN0000064675	TSTA3	24	19	25	21	20	28	2	7	3	10
TRCN0000065300	KPNA1	22	24	12	23	23	26	2	1	1	3
TRCN0000074568	SNRNP27	13	14	12	14	14	17	1	1	1	3
TRCN0000078128	CYP27C1	26	26	22	30	27	33	8	15	9	10
TRCN0000040040	CCND1	7	7	6	7	6	7	4	1	16	14
TRCN0000021229	RARG	13	13	14	13	12	13	23	11	18	11
TRCN0000017211	TIAL1	27	26	15	8	29	28	11	5	10	5
TRCN0000016559	DMRTA2	14	16	18	16	17	17	2	2	4	1
TRCN0000007940	PRF1	4	4	8	5	5	5	4	1	14	1
TRCN0000001222	PRKCZ	10	6	15	12	7	14	1	2	4	2
TRCN0000010028	FIGN	12	11	8	11	12	12	1	4	3	5
TRCN0000002294	PDIK1L	13	10	13	11	13	15	3	2	5	4
TRCN0000116533	KRT20	6	6	5	7	5	6	10	11	2	1
TRCN0000073491	PRG3	17	18	17	18	18	20	10	2	11	1
TRCN0000078337	ADCY3	19	19	18	21	21	24	20	11	25	13
TRCN0000064001	MOBP	23	23	23	21	22	22	107	55	42	43
TRCN0000082945	CLPTM1	25	27	35	29	29	29	65	17	28	26
TRCN0000034963	SULT4A1	25	27	30	24	25	28	68	52	44	188
TRCN0000033969	TRIM7	46	47	47	50	49	52	110	87	212	98
TRCN0000108191	ZNF578	9	10	6	9	10	11	2	2	2	2
TRCN0000054186	TNNC2	15	16	16	18	18	17	22	10	62	7
TRCN0000046935	CES1	17	17	17	17	17	19	18	12	5	12
TRCN0000082517	LOC392265	12	8	10	13	10	15	5	16	7	62
TRCN0000061636	GPR179	18	18	15	18	18	19	17	50	48	13
TRCN0000040069	BCL2	6	3	3	3	5	8	1	1	1	1
TRCN0000082933	CAV3	15	14	14	15	15	18	1	1	3	1
TRCN0000055826	ACTN1	16	17	12	16	15	15	3	1	1	5
TRCN0000064256	CYP3A43	18	18	8	15	15	17	50	42	7	2
TRCN0000057568	CD52	7	8	6	7	6	8	6	2	10	4
TRCN0000064310	TXNDC15	27	26	31	26	28	29	53	16	8	16
TRCN0000073525	RECK	15	15	21	16	16	18	50	35	77	38
TRCN0000056304	ANXA7	8	7	9	9	8	10	1	1	1	1
TRCN0000056775	STAM2	6	6	10	7	8	9	1	4	6	15
TRCN0000043272	SLC11A1	15	17	14	14	17	17	4	3	3	3
TRCN0000053703	SRI	34	33	31	29	29	34	17	24	16	26
TRCN0000056834	NFKBIE	12	13	15	13	12	13	235	17	56	13
TRCN0000078401	GUCA2B	19	18	21	24	22	23	237	59	43	33
TRCN0000063183	TRIP10	18	18	22	21	21	19	3	3	3	20
TRCN0000072563	COQ2	33	32	21	29	27	31	41	93	27	26
TRCN0000064296	CYP11B2	10	7	16	10	7	15	1	2	3	2
TRCN0000048978	PDE6B	8	9	9	7	9	9	8	9	9	14
TRCN0000056118	CSN2	22	25	23	20	20	26	77	46	65	56
TRCN0000060317	AP3S1	20	23	11	22	21	22	12	20	15	31
TRCN0000043740	SLC26A6	17	16	9	6	14	17	133	149	62	114
TRCN0000048783	PDE3A	28	31	15	26	26	30	123	21	40	32
TRCN0000084082	GYPB	19	17	23	18	20	21	1	1	1	2
TRCN0000061088	OR7D4	9	3	4	3	4	14	2	3	5	5
TRCN0000052593	LOC253289	12	13	10	14	13	16	1	1	3	1
TRCN0000058394	GDF7	10	11	13	12	13	11	5	13	17	5
TRCN0000049858	POP7	58	54	75	57	64	80	31	77	70	46
TRCN0000044079	TRPC5	6	6	6	7	7	7	2	1	1	1
TRCN0000057622	CD1A	19	19	11	18	17	20	23	25	35	54
TRCN0000043903	CLCN5	18	18	22	22	20	20	33	17	22	21
TRCN0000049211	PIN1P1	29	24	18	7	27	35	15	1	33	23
TRCN0000074174	HEXIM1	17	15	11	13	15	17	3	1	3	2
TRCN0000045740	ALAS1	17	14	20	14	16	17	20	17	25	13
TRCN0000049188	LOC390299	25	24	36	22	22	27	23	11	20	37
TRCN0000116574	TUBA3D	19	18	19	18	19	20	109	70	494	132
TRCN0000078245	PLCXD1	16	16	18	19	16	16	3	7	7	4
TRCN0000044918	P2RX1	13	13	21	13	12	15	2	1	1	2
TRCN0000060115	NUP160	13	10	14	12	10	12	12	15	3	9
TRCN0000050838	PON3	6	7	7	7	6	8	1	2	2	1
TRCN0000055880	GNPTAB	54	59	49	54	53	62	137	113	112	101
TRCN0000044041	KCNQ2	12	10	11	14	10	16	2	3	3	3
TRCN0000073121	TRIM63	18	19	21	19	19	19	30	39	60	18
TRCN0000062706	SPIN2A	14	15	20	14	14	17	12	25	17	240
TRCN0000059439	RBP7	18	19	16	19	21	19	4	12	8	11
TRCN0000073803	ATG4C	58	54	45	61	56	61	221	149	226	113
TRCN0000058275	BMP8A	17	21	15	19	18	18	101	17	21	36
TRCN0000062727	NLRP3	32	33	31	34	30	38	55	36	40	18
TRCN0000040043	MET	5	6	6	6	5	4	5	1	1	1
TRCN0000078706	SLITRK5	13	15	12	13	13	17	15	7	23	9
TRCN0000083068	COL11A2	23	24	25	19	21	24	25	15	10	13
TRCN0000107749	BHLHE22	7	5	9	8	6	10	1	13	3	7
TRCN0000116084	SERTAD4	12	12	11	10	11	12	42	7	3	9
TRCN0000051098	SULF1	21	23	18	24	21	22	6	14	8	11
TRCN0000047966	RHOBTB2	14	14	18	14	13	15	5	11	27	9
TRCN0000034065	BIRC8	25	27	21	27	24	28	8	9	9	7
TRCN0000034611	HEMK1	14	13	17	15	14	14	8	3	5	3
TRCN0000036414	GALNT5	14	17	10	14	16	16	18	11	8	6
TRCN0000036960	PPM1J	16	18	18	16	16	16	15	12	13	6
TRCN0000043956	SLC25A18	11	9	7	10	8	13	1	2	3	1
TRCN0000044927	TRPM4	10	11	5	10	9	8	9	6	1	9
TRCN0000046794	LONP1	5	6	7	6	7	7	29	5	1	20
TRCN0000048807	PAFAH1B3	13	14	19	14	14	15	32	52	45	30
TRCN0000050942	ADARB1	22	21	23	23	22	27	8	14	2	6
TRCN0000051701	GALNS	11	5	36	24	4	20	9	34	18	24
TRCN0000052122	PRSS1	15	15	17	13	13	15	2	9	4	4
TRCN0000052243	MMP24	5	5	3	5	5	5	3	1	1	3
TRCN0000053675	PCDHB16	40	40	38	38	38	48	84	38	72	225
TRCN0000055618	FSTL4	17	13	21	14	13	15	4	13	19	10
TRCN0000056369	CABP4	10	11	13	11	11	12	16	7	52	64
TRCN0000057982	CCL4	6	4	9	13	5	12	32	22	23	14
TRCN0000058528	IL1R2	8	9	4	9	9	11	3	11	5	5
TRCN0000058868	IL17RC	6	7	3	7	6	6	1	1	3	1
TRCN0000059030	IL28B	7	9	9	11	10	9	15	9	6	20
TRCN0000059868	GJB1	26	26	31	27	27	30	7	10	9	2
TRCN0000060299	SFXN5	27	30	36	26	26	24	44	15	24	29
TRCN0000061998	P4HA1	21	18	23	26	22	27	15	48	26	42
TRCN0000062063	APOA2	12	11	11	14	12	15	12	4	7	6
TRCN0000062532	FLNA	10	9	12	10	10	12	1	1	2	2
TRCN0000063546	SEMA5A	8	3	27	20	3	16	8	15	27	17
TRCN0000064919	BCO2	18	20	20	20	19	22	18	4	10	33
TRCN0000073578	SPINT2	11	11	11	8	8	12	14	25	44	36
TRCN0000074017	PRSS33	9	8	13	10	9	9	3	14	17	14
TRCN0000078465	PISD	11	10	15	13	10	14	2	2	7	2
TRCN0000082904	MYBPC3	17	20	27	22	19	20	5	10	12	21
TRCN0000107499	ZNF786	13	13	16	15	14	16	4	4	10	11
TRCN0000108035	ZNF304	7	7	3	7	7	7	4	3	5	5
TRCN0000009456	NPFFR1	22	24	19	21	19	21	7	12	22	12
TRCN0000014497	SFRP5	8	8	14	7	8	7	13	8	9	2
TRCN0000020678	ZNF677	13	12	16	14	13	17	3	1	2	2
TRCN0000073936	DNPEP	11	11	17	14	13	13	1	1	3	1
TRCN0000108247	DCTN3	7	8	8	9	8	9	1	1	1	1
TRCN0000036875	GPS2	35	37	33	41	44	44	59	99	76	52
TRCN0000002262	RPS6KA6	12	13	13	13	13	12	4	13	2	4
TRCN0000003619	CST5	18	16	18	19	19	21	2	3	1	2
TRCN0000008726	GLRA1	7	7	4	9	9	8	1	4	1	1
TRCN0000037487	FLJ30698	5	6	5	5	6	6	25	7	14	22
TRCN0000038212	SLC22A13	12	11	8	11	10	13	34	2	6	4
TRCN0000052065	LYPLA1	32	30	33	33	34	39	2	7	1	3
TRCN0000072925	RASGRP4	24	29	33	33	30	30	50	48	189	117
TRCN0000084122	CA2	21	23	16	22	21	22	14	14	6	9
TRCN0000108263	TUBB2B	4	5	6	5	5	4	4	3	9	1
TRCN0000001413	PRKD3	6	3	5	9	4	8	12	9	4	10
TRCN0000003441	RNF8	12	14	12	14	14	14	3	1	3	17
TRCN0000004265	STAT1	18	19	18	18	16	21	1	1	1	2
TRCN0000013878	ELK3	9	9	13	10	10	9	1	2	2	4
TRCN0000116347	KRT7	14	14	10	14	13	14	13	2	2	2
TRCN0000011590	GPR50	8	7	4	9	8	8	2	2	3	3
TRCN0000000687	CDK10	26	33	38	37	35	36	18	7	3	3
TRCN0000002538	ENPP1	10	9	13	8	9	10	2	1	3	2
TRCN0000004336	FBXO5	25	29	23	29	26	30	5	9	10	6
TRCN0000046171	COX4I2	4	5	6	5	6	7	6	7	19	18
TRCN0000001663	PPARD	3	3	3	3	3	3	5	4	7	3
TRCN0000001689	KDR	14	15	16	15	18	16	20	12	12	7
TRCN0000001763	RGS3	8	7	8	6	7	7	1	2	1	1
TRCN0000001805	PBK	7	8	5	7	8	9	5	4	9	1
TRCN0000001817	STK40	4	3	3	4	3	3	8	1	1	3
TRCN0000001907	PPM1E	14	15	9	15	14	16	23	25	19	6
TRCN0000001974	DCLK2	11	9	9	6	9	11	3	1	3	14
TRCN0000002047	MAP3K2	17	19	19	18	17	14	30	207	23	21
TRCN0000002177	STK3	10	11	10	9	10	11	10	4	8	3
TRCN0000002282	MAPKAPK2	14	15	13	13	14	14	30	26	26	6
TRCN0000002603	DAPP1	48	44	53	52	45	48	4	10	4	10
TRCN0000002815	PKIB	12	13	12	14	13	15	1	2	1	2
TRCN0000002847	PTPRC	5	7	5	4	5	5	8	1	10	7
TRCN0000002869	PTPRJ	9	10	8	11	10	11	8	2	12	3
TRCN0000002946	RSC1A1	24	26	23	28	28	27	5	4	10	5
TRCN0000002952	TNS1	17	17	19	19	16	17	2	5	8	2
TRCN0000002974	PPFIA3	14	14	11	12	13	15	13	13	17	7
TRCN0000003171	CDC7	13	12	8	11	12	12	3	3	3	9
TRCN0000003185	TBK1	7	5	12	8	6	7	3	2	1	1
TRCN0000003194	MST4	25	24	25	27	25	29	11	14	7	7
TRCN0000003344	VEGFA	16	14	23	17	17	17	22	5	2	1
TRCN0000003395	WWP1	26	29	31	27	24	19	18	6	16	10
TRCN0000003401	UBE3C	20	18	16	11	17	21	38	22	23	25
TRCN0000003515	CASP6	8	9	6	9	8	8	1	1	5	2
TRCN0000003658	CTSB	8	8	8	10	8	9	9	13	18	2
TRCN0000003698	CTSH	24	25	19	24	24	20	75	25	18	65
TRCN0000003783	BIRC2	5	5	3	4	5	5	1	3	8	131
TRCN0000003787	XIAP	17	14	15	16	15	19	7	1	13	6
TRCN0000003840	CRYAB	15	15	20	16	15	15	15	18	44	31
TRCN0000003982	SRF	9	10	8	11	11	10	9	1	8	2
TRCN0000004116	PIAS4	4	4	10	5	4	4	3	1	4	8
TRCN0000004172	UFC1	13	14	13	15	13	16	1	1	3	2
TRCN0000004202	UBE2Q1	30	29	29	27	28	32	1	1	3	1
TRCN0000004339	FBXO7	12	13	12	13	13	12	63	26	21	54
TRCN0000004506	RNF186	17	16	20	20	18	19	6	27	7	15
TRCN0000004557	MIB1	10	10	15	11	10	12	2	1	1	2
TRCN0000004569	USP37	21	23	21	21	20	19	129	66	20	21
TRCN0000040124	CDKN1A	10	11	15	12	10	11	5	13	1	19
TRCN0000009882	EP300	3	4	8	4	4	4	5	12	1	27
TRCN0000009892	Gabra2	15	15	15	16	15	15	2	7	6	5
TRCN0000342341	PRPS2	10	9	12	5	10	13	48	17	5	20
TRCN0000010143	PIP5K1A	15	17	18	15	15	14	7	1	5	4
TRCN0000000062	SF3A2	12	12	15	13	12	14	2	1	1	1
TRCN0000000258	MAF	14	14	12	15	15	16	20	39	54	8
TRCN0000000444	ACVR1	9	10	7	9	10	9	4	7	15	11
TRCN0000000518	DGKG	11	11	13	12	11	10	8	6	3	1
TRCN0000000672	DGKD	11	12	18	13	13	13	5	3	2	1
TRCN0000000813	DMPK	12	11	18	12	13	12	12	11	39	7
TRCN0000000980	ROCK2	17	16	17	18	15	20	47	24	28	27
TRCN0000000994	MAP3K5	5	7	5	7	7	6	8	3	1	1
TRCN0000001063	PTBP1	14	15	10	15	15	15	14	36	35	51
TRCN0000001083	SFPQ	15	17	13	15	15	15	1	3	1	1
TRCN0000001114	WT1	13	13	11	12	12	14	82	53	102	11
TRCN0000001206	ZMAT2	19	18	32	22	20	19	1	3	1	4
TRCN0000001227	SRSF3	12	12	13	16	13	14	1	10	1	1
TRCN0000001289	DHX35	16	15	12	15	15	17	16	3	5	2
TRCN0000001384	RPS6KA1	24	21	23	25	23	27	11	16	5	14
TRCN0000001477	PDPK1	7	9	10	9	8	9	3	1	5	11
TRCN0000001526	TAOK3	10	9	8	10	11	12	4	2	1	9
TRCN0000001557	MAP3K7	17	18	10	21	19	22	7	2	1	2
TRCN0000004803	RNF148	17	18	21	22	21	20	2	1	2	3
TRCN0000004836	HDAC5	23	20	14	23	21	22	3	16	9	7
TRCN0000004866	RALA	4	3	7	4	4	4	4	4	1	6
TRCN0000004878	SPP1	14	14	10	14	13	16	21	8	20	8
